sequence,count,Browser,Location
sequence1,1,Safari,usa
sequence2,1,Firefox,usa
sequence3,1,Firefox,usa
sequence4,1,Safari,usa
sequence5,1,Safari,usa
sequence6,1,Safari,usa
sequence7,1,Safari,usa
sequence8,1,Firefox,usa
sequence9,1,Trident,usa
sequence10,1,Trident,usa
sequence11,1,Safari,usa
sequence12,1,Safari,usa
sequence13,1,Safari,usa
sequence14,1,Trident,usa
sequence15,1,Trident,usa
sequence16,1,Firefox,usa
sequence17,1,Safari,usa
sequence18,1,Safari,usa
sequence19,1,Firefox,usa
sequence20,1,Firefox,usa
sequence21,1,Trident,usa
sequence22,1,Trident,usa
sequence23,1,Firefox,usa
sequence24,1,Safari,usa
sequence25,1,Trident,usa
sequence26,1,Firefox,usa
sequence27,1,Safari,usa
sequence28,1,Firefox,usa
sequence29,1,Safari,usa
sequence30,1,Safari,usa
sequence31,1,Safari,usa
sequence32,1,Trident,usa
sequence33,1,Firefox,usa
sequence34,1,Firefox,usa
sequence35,1,Safari,usa
sequence36,1,Safari,usa
sequence37,1,Trident,usa
sequence38,1,Trident,usa
sequence39,1,Firefox,usa
sequence40,1,Firefox,usa
sequence41,1,Trident,usa
sequence42,1,Trident,usa
sequence43,1,Safari,usa
sequence44,1,Safari,usa
sequence45,1,Trident,usa
sequence46,1,Trident,usa
sequence47,1,Safari,tha
sequence48,1,Safari,usa
sequence49,1,Firefox,usa
sequence50,1,Safari,usa
sequence51,1,Safari,usa
sequence52,1,Safari,usa
sequence53,1,Firefox,usa
sequence54,1,Safari,usa
sequence55,1,Trident,usa
sequence56,1,Firefox,usa
sequence57,1,Safari,usa
sequence58,1,Safari,usa
sequence59,1,Safari,usa
