sequence,count,Browser,Location
sequence1,1,Safari,usa
sequence2,1,Trident,usa
sequence3,1,Firefox,usa
sequence4,1,Safari,usa
sequence5,1,Safari,usa
sequence6,1,Safari,usa
sequence7,1,Safari,usa
sequence8,1,Safari,usa
sequence9,1,Trident,usa
sequence10,1,Safari,usa
sequence11,1,Safari,usa
sequence12,1,Firefox,usa
sequence13,1,Safari,usa
sequence14,1,Safari,usa
sequence15,1,Trident,usa
sequence16,1,Safari,usa
sequence17,1,Firefox,usa
sequence18,1,Trident,usa
sequence19,1,Firefox,usa
sequence20,1,Firefox,usa
sequence21,1,Firefox,usa
sequence22,1,Trident,usa
sequence23,1,Firefox,usa
sequence24,1,Safari,usa
sequence25,1,Safari,usa
sequence26,1,Safari,usa
sequence27,1,Firefox,usa
sequence28,1,Safari,usa
sequence29,1,Firefox,usa
sequence30,1,Firefox,usa
sequence31,1,Trident,usa
sequence32,1,Trident,usa
sequence33,1,Firefox,usa
sequence34,1,Safari,usa
sequence35,1,Trident,usa
sequence36,1,Firefox,usa
sequence37,1,Safari,usa
sequence38,1,Firefox,usa
sequence39,1,Safari,usa
