sequence,count,Browser,Location
sequence1,1,Safari,usa
sequence2,1,Safari,usa
sequence3,1,Safari,usa
sequence4,1,Safari,usa
sequence5,1,Trident,usa
sequence6,1,Safari,usa
sequence7,1,Safari,usa
sequence8,1,Safari,usa
sequence9,1,Trident,usa
sequence10,1,Safari,usa
sequence11,1,Trident,usa
sequence12,1,Safari,usa
sequence13,1,Safari,usa
sequence14,1,Safari,usa
sequence15,1,Firefox,usa
sequence16,1,Trident,usa
sequence17,1,Safari,usa
sequence18,1,Firefox,usa
sequence19,1,Trident,usa
sequence20,1,Safari,usa
sequence21,1,Trident,usa
sequence22,1,Trident,usa
sequence23,1,Firefox,usa
sequence24,1,Firefox,usa
sequence25,1,Firefox,usa
sequence26,1,Firefox,usa
sequence27,1,Trident,usa
sequence28,1,Firefox,usa
sequence29,1,Firefox,usa
sequence30,1,Safari,usa
sequence31,1,Safari,usa
sequence32,1,Safari,usa
sequence33,1,Safari,usa
sequence34,1,Safari,usa
sequence35,1,Safari,usa
sequence36,1,Safari,usa
sequence37,1,Safari,usa
sequence38,1,Firefox,usa
sequence39,1,Safari,usa
sequence40,1,Safari,usa
sequence41,1,Safari,usa
sequence42,1,Safari,usa
sequence43,1,Firefox,usa
sequence44,1,Trident,usa
sequence45,1,Safari,usa
sequence46,1,Safari,usa
sequence47,1,Safari,usa
sequence48,1,Firefox,usa
sequence49,1,Trident,usa
sequence50,1,Firefox,usa
sequence51,1,Safari,usa
sequence52,1,Trident,usa
sequence53,1,Safari,usa
sequence54,1,Safari,usa
sequence55,1,Firefox,usa
sequence56,1,Firefox,usa
sequence57,1,Safari,usa
sequence58,1,Firefox,usa
sequence59,1,Firefox,usa
sequence60,1,Safari,usa
sequence61,1,Firefox,usa
sequence62,1,Trident,usa
sequence63,1,Safari,usa
sequence64,1,Safari,usa
sequence65,1,Safari,usa
