sequence,count
sequence1,1
sequence2,1
sequence3,1
sequence4,1
sequence5,1
sequence6,1
sequence7,1
sequence8,1
sequence9,1
sequence10,1
sequence11,1
sequence12,1
sequence13,1
sequence14,1
sequence15,1
sequence16,1
sequence17,1
sequence18,1
sequence19,1
sequence20,1
sequence21,1
sequence22,1
sequence23,1
sequence24,1
sequence25,1
sequence26,1
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,1
sequence33,1
sequence34,1
sequence35,1
sequence36,1
sequence37,1
sequence38,1
sequence39,1
sequence40,1
sequence41,1
sequence42,1
sequence43,1
sequence44,1
sequence45,1
sequence46,1
sequence47,1
sequence48,1
sequence49,1
sequence50,1
sequence51,1
sequence52,1
sequence53,1
sequence54,1
sequence55,1
sequence56,1
sequence57,1
sequence58,1
sequence59,1
sequence60,1
sequence61,1
sequence62,1
sequence63,1
sequence64,1
